!!id a e inc node peri ma epoch H
l1 47.6182 0.3602 2.3068 206.5622 314.7314 294.2761 53157.00 7.0 
l2 47.7852 0.1429 2.1286 227.8664 297.0622 128.7282 53157.00 7.0 
l3 47.9977 0.2438 4.6521 356.2999 192.8877 118.2779 53157.00 7.0 
l4 47.7709 0.2558 10.8861 355.7813 93.6394 345.4714 53157.00 7.0 
l5 47.8331 0.2838 11.4174 261.4477 359.5911 86.3559 53157.00 7.0 
l6 47.9525 0.3658 7.5477 259.3122 321.5641 88.0435 53157.00 7.0 
l7 47.7990 0.3322 3.6124 209.9539 74.9740 255.5125 53157.00 7.0 
l8 47.8877 0.1706 6.7230 212.4481 1.0407 272.0412 53157.00 7.0 
l9 47.8679 0.0695 5.2352 0.9479 284.4499 68.5184 53157.00 7.0 
l10 47.6160 0.3721 4.9468 356.5218 32.4422 327.7516 53157.00 7.0 
l11 47.6273 0.1292 10.0816 336.6318 186.5646 302.8762 53157.00 7.0 
l12 47.8823 0.1762 2.7575 83.9487 3.3117 157.9933 53157.00 7.0 
l13 47.8758 0.1408 5.3968 164.4866 52.5037 74.1023 53157.00 7.0 
l14 47.8880 0.1072 3.5761 67.6967 95.9321 286.8238 53157.00 7.0 
l15 47.7028 0.1470 5.2944 326.1657 44.3316 4.5152 53157.00 7.0 
l16 47.9375 0.3227 6.5400 272.2007 332.8228 264.2456 53157.00 7.0 
l17 47.7276 0.3873 1.3632 100.4956 292.7930 322.9111 53157.00 7.0 
l18 47.8360 0.0408 4.4548 91.7762 323.8287 201.5873 53157.00 7.0 
l19 47.7705 0.2240 5.3611 173.5849 174.1068 2.4319 53157.00 7.0 
l20 47.8375 0.1336 8.6915 253.2391 156.4992 180.0270 53157.00 7.0 
l21 47.9711 0.0717 10.3884 251.8911 25.3184 257.6872 53157.00 7.0 
l22 47.6298 0.2635 5.1402 190.2657 245.9613 150.5785 53157.00 7.0 
l23 47.9022 0.3946 1.5449 251.2084 202.0569 330.4026 53157.00 7.0 
l24 47.8785 0.1822 7.1687 282.7512 95.7667 32.6698 53157.00 7.0 
l25 47.8555 0.2150 4.9436 115.7702 55.6780 271.4929 53157.00 7.0 
l26 47.9319 0.3904 7.3081 344.5679 284.0356 236.6535 53157.00 7.0 
l27 47.7495 0.0773 4.7446 348.9965 241.6640 286.8131 53157.00 7.0 
l28 47.8237 0.3813 13.7869 99.9462 172.1904 50.6211 53157.00 7.0 
l29 47.7521 0.2068 2.5457 260.0023 46.6936 218.6884 53157.00 7.0 
l30 47.6805 0.1492 6.9690 335.4319 106.9032 329.1317 53157.00 7.0 
l31 47.8578 0.0797 9.3863 13.6230 161.4818 320.4948 53157.00 7.0 
l32 47.7079 0.1157 5.6560 194.4465 146.7490 191.5927 53157.00 7.0 
l33 47.7444 0.1378 1.7381 56.7158 21.1736 8.3164 53157.00 7.0 
l34 47.9989 0.1736 2.1161 307.8492 67.5983 11.7771 53157.00 7.0 
l35 47.9513 0.2174 5.2258 305.7324 49.5960 208.0700 53157.00 7.0 
