!!id a e inc node peri ma epoch H
t1 47.9877 0.0585 11.3584 148.4661 140.4756 308.3244 53157.00 7.0 
t2 47.7468 0.0552 7.1829 171.9226 55.3728 158.9403 53157.00 7.0 
t3 47.9300 0.3805 3.4292 72.9463 7.0754 84.7860 53157.00 7.0 
t4 47.6833 0.1973 14.0872 344.2142 167.0238 220.2356 53157.00 7.0 
t5 47.9356 0.2912 4.3621 306.0908 217.8116 18.7043 53157.00 7.0 
t6 47.9786 0.2730 2.2425 147.9340 166.6578 327.8996 53157.00 7.0 
t7 47.6241 0.2740 4.1905 127.9705 312.5136 109.2416 53157.00 7.0 
t8 47.9030 0.3988 1.8047 204.6768 261.5474 273.1888 53157.00 7.0 
t9 47.8101 0.3759 4.2861 57.2831 101.7074 224.6008 53157.00 7.0 
t10 47.9832 0.2364 1.9063 170.1489 127.9191 351.7310 53157.00 7.0 
t11 47.9793 0.2555 7.2299 311.4073 334.3121 351.4619 53157.00 7.0 
t12 47.9862 0.2786 5.7783 54.6042 168.5271 17.4242 53157.00 7.0 
t13 47.9793 0.1869 1.3723 31.1690 86.6333 237.4512 53157.00 7.0 
t14 47.8204 0.0551 1.2489 220.3389 304.2722 11.0975 53157.00 7.0 
t15 47.6863 0.3717 5.3606 344.7744 189.4292 215.6304 53157.00 7.0 
t16 47.8142 0.3890 9.0967 286.5184 173.3342 74.5517 53157.00 7.0 
t17 47.8285 0.2063 6.0269 177.8143 187.1999 296.0650 53157.00 7.0 
t18 47.9426 0.3322 4.2793 313.2907 79.6358 268.4118 53157.00 7.0 
t19 47.7913 0.1588 1.7351 148.7459 3.3211 195.1104 53157.00 7.0 
t20 47.7321 0.0467 3.9749 105.6870 76.8749 355.7175 53157.00 7.0 
t21 47.7532 0.2619 1.5496 154.7112 213.3340 108.5396 53157.00 7.0 
t22 47.9297 0.1824 6.3672 91.9176 34.7514 230.7596 53157.00 7.0 
t23 47.8932 0.0539 1.7954 52.9461 132.2663 2.0459 53157.00 7.0 
t24 47.7320 0.0920 2.5469 342.7317 98.3979 87.9854 53157.00 7.0 
t25 47.6258 0.2172 6.3756 199.3321 76.7273 127.0672 53157.00 7.0 
t26 47.7481 0.1642 2.5971 173.0972 102.9119 308.6806 53157.00 7.0 
t27 47.7876 0.2688 9.1311 6.2998 323.7871 140.0902 53157.00 7.0 
t28 47.9757 0.2610 4.4252 107.4679 120.9787 180.3990 53157.00 7.0 
t29 47.9448 0.1137 4.7220 125.4448 239.7274 90.0052 53157.00 7.0 
t30 47.8981 0.3637 2.3154 24.3237 64.5846 77.4100 53157.00 7.0 
t31 47.8068 0.0587 2.1636 331.3664 351.8567 105.1718 53157.00 7.0 
t32 47.8856 0.0648 4.4342 94.5499 249.4261 295.6194 53157.00 7.0 
t33 47.7033 0.1448 1.4932 131.5585 201.9025 149.9971 53157.00 7.0 
t34 47.8825 0.3848 7.7991 341.6583 120.8819 61.8015 53157.00 7.0 
t35 47.8227 0.2329 12.9779 187.7308 222.2282 116.4065 53157.00 7.0 
t36 47.9504 0.3278 7.4865 198.5035 275.9871 220.0766 53157.00 7.0 
t37 47.7533 0.1355 8.3369 10.2996 56.5481 70.6112 53157.00 7.0 
t38 47.7547 0.2337 5.0905 167.3276 13.2343 28.3427 53157.00 7.0 
t39 47.7850 0.2179 7.6231 139.3782 234.5136 273.0929 53157.00 7.0 
t40 47.6474 0.3271 10.7622 86.3899 68.1503 232.6565 53157.00 7.0 
t41 47.7008 0.2798 5.5835 218.3960 275.7316 86.4209 53157.00 7.0 
t42 47.8254 0.3995 4.1734 352.5278 27.0423 280.1401 53157.00 7.0 
t43 47.8706 0.1590 4.8034 6.3738 34.0714 72.4060 53157.00 7.0 
t44 47.7042 0.0853 2.8349 106.4015 9.2222 37.4290 53157.00 7.0 
t45 47.8211 0.2734 6.8751 265.8474 332.4973 180.6043 53157.00 7.0 
t46 47.8037 0.2980 12.8373 198.0414 312.6285 235.8015 53157.00 7.0 
t47 47.8648 0.0889 5.1533 90.1249 295.5705 90.8339 53157.00 7.0 
t48 47.6536 0.3517 8.4066 65.2935 57.9088 62.5866 53157.00 7.0 
t49 47.7893 0.2336 3.7108 302.3999 219.4965 31.7660 53157.00 7.0 
t50 47.6185 0.3611 2.4108 95.0477 172.3545 0.3221 53157.00 7.0 
t51 47.8753 0.0841 5.7408 67.5758 119.2575 177.5633 53157.00 7.0 
t52 47.6511 0.1080 8.3779 281.8277 164.1660 242.2456 53157.00 7.0 
t53 47.7600 0.0452 1.6552 215.9943 273.2229 24.7874 53157.00 7.0 
t54 47.7362 0.0485 7.3031 292.7547 204.1298 11.3871 53157.00 7.0 
t55 47.7378 0.1607 12.3054 98.7768 115.2713 187.9345 53157.00 7.0 
t56 47.8636 0.1942 11.2945 297.2676 40.3290 150.3072 53157.00 7.0 
t57 47.6923 0.1029 11.2053 92.2593 348.5197 242.6824 53157.00 7.0 
t58 47.9837 0.0944 10.4647 179.7145 221.4125 96.7564 53157.00 7.0 
t59 47.7490 0.3649 4.9542 50.4775 30.7197 291.1800 53157.00 7.0 
t60 47.6477 0.1502 1.3912 47.5199 107.5205 202.6102 53157.00 7.0 
t61 47.8925 0.1178 1.5913 39.8606 197.6245 171.1934 53157.00 7.0 
t62 47.7809 0.3404 1.1133 91.0149 230.7298 139.8147 53157.00 7.0 
t63 47.9028 0.2141 4.1921 8.3024 297.4132 290.4846 53157.00 7.0 
t64 47.6742 0.3288 4.7315 273.2670 278.0257 204.8530 53157.00 7.0 
t65 47.9489 0.3461 9.2739 161.6193 219.7457 260.8346 53157.00 7.0 
t66 47.8092 0.1815 3.5239 206.3734 80.3841 148.2707 53157.00 7.0 
t67 47.8016 0.0502 7.4276 253.9429 269.8023 192.0460 53157.00 7.0 
