!!id a e inc node peri ma epoch H
51l1 88.5780 0.6089 8.1171 184.3743 272.3764 66.7782 58951 8.77 
51l2 88.2145 0.4966 31.0390 298.5835 48.2193 167.0367 58951 8.28 
51l3 88.2586 0.5480 8.2001 328.1250 349.9952 34.8382 58951 8.81 
51l4 88.3333 0.6191 10.3329 55.7411 358.7956 76.9487 58951 8.84 
51l5 88.2329 0.4866 12.1687 351.5507 332.4041 164.3835 58951 8.46 
51l6 88.2475 0.6244 11.8776 42.5210 353.9097 75.0144 58951 8.79 
51l7 88.3963 0.6068 18.0936 91.5309 82.5402 339.2421 58951 8.94 
51l8 88.5255 0.6073 23.8709 140.8061 233.6758 160.1299 58951 8.58 
51l9 88.3881 0.5916 16.2107 223.0753 205.5378 282.3228 58951 8.67 
51l10 88.2560 0.6226 30.1836 271.8652 310.1252 338.7234 58951 8.71 
51l11 88.2772 0.4859 5.6571 215.3288 135.1127 238.5927 58951 8.46 
51l12 88.2095 0.5692 25.9845 141.7655 355.4916 75.8884 58951 7.84 
51l13 88.4691 0.5749 8.5297 158.1852 12.4191 269.5847 58951 7.15 
51l14 88.3495 0.5727 23.1832 285.1282 24.5395 170.1465 58951 7.15 
51l15 88.3669 0.6142 6.1183 176.8887 266.9404 211.9816 58951 8.04 
51l16 88.2222 0.5724 18.5985 19.2852 57.9127 296.7745 58951 7.37 
51l17 88.5112 0.5576 15.6895 140.9820 158.9110 181.8988 58951 8.14 
51l18 88.3919 0.5419 14.9049 229.3510 338.9199 46.6647 58951 8.96 
51l19 88.3839 0.4933 18.5977 109.9001 211.2386 174.2172 58951 8.97 
51l20 88.4828 0.6069 1.2541 166.4532 196.2150 159.8802 58951 8.97 
51l21 88.2765 0.5721 16.7445 111.4192 87.9268 47.8851 58951 8.69 
51l22 88.5099 0.6178 10.3410 71.1613 281.2609 168.7860 58951 8.50 
51l23 88.3419 0.5823 3.3122 336.4074 58.2903 226.2991 58951 8.58 
51l24 88.2474 0.5559 13.8518 11.9433 238.8486 245.9065 58951 8.04 
51l25 88.2802 0.5700 15.3573 348.7874 39.5248 9.8487 58951 8.69 
51l26 88.3464 0.5230 2.4405 179.2679 216.2060 228.0520 58951 8.93 
51l27 88.2758 0.5358 28.0875 204.1805 180.6599 291.0476 58951 7.97 
51l28 88.4444 0.5233 1.6258 216.6051 69.6599 247.3945 58951 8.37 
