!!id a e inc node peri ma epoch H
51s1 88.2799 0.5267 8.3837 46.3883 128.9855 70.7596 58951 8.55 
51s2 88.2467 0.5868 18.8687 167.7178 110.4937 71.3660 58951 8.84 
51s3 88.2503 0.5021 7.5674 180.0000 110.0512 208.1516 58951 8.97 
51s4 88.3635 0.6007 17.5129 10.4316 109.4547 284.3411 58951 8.67 
51s5 88.2902 0.5975 15.6661 141.8943 319.8217 44.1125 58951 8.96 
51s6 88.4127 0.5489 9.4182 20.3758 198.5724 108.7590 58951 7.87 
51s7 88.4728 0.5720 21.9018 70.0897 114.3473 330.6329 58951 8.80 
51s8 88.4008 0.6067 19.5033 264.1184 179.7722 227.2160 58951 8.31 
51s9 88.2561 0.5070 9.7065 15.3940 21.9243 112.7896 58951 8.68 
51s10 88.2402 0.6116 7.3446 211.7335 133.6875 228.5223 58951 7.35 
51s11 88.5330 0.5732 23.5560 254.4638 318.1285 324.2828 58951 9.00 
51s12 88.4763 0.6052 21.7126 303.9140 209.6317 266.3945 58951 8.09 
51s13 88.4576 0.5297 23.0384 120.8423 205.3871 224.0511 58951 8.83 
51s14 88.4455 0.6014 26.7057 115.1188 59.5339 118.7161 58951 7.96 
51s15 88.3269 0.5957 8.8570 78.6050 181.2272 39.1966 58951 8.77 
51s16 88.2414 0.5948 7.1323 76.5938 101.2645 64.8387 58951 7.30 
51s17 88.2231 0.5781 19.7015 305.8510 243.6529 242.8968 58951 8.89 
51s18 88.4504 0.5694 20.9967 287.2668 149.8560 243.1729 58951 8.90 
51s19 88.5291 0.5127 18.3565 239.4594 300.0878 129.0352 58951 9.00 
51s20 88.2687 0.5556 16.7857 83.3194 122.8709 234.8250 58951 7.96 
51s21 88.4015 0.5300 7.8044 94.4262 239.0437 287.7638 58951 8.68 
51s22 88.2719 0.5533 20.3049 172.8522 140.9772 186.3911 58951 8.62 
51s23 88.3890 0.5751 31.5319 167.4099 104.8430 225.2558 58951 8.66 
51s24 88.3308 0.6096 15.6183 148.5085 151.3143 218.0048 58951 8.98 
51s25 88.5694 0.5030 14.9630 278.7152 161.6558 158.1522 58951 8.95 
51s26 88.4625 0.5355 18.7214 138.7302 269.8522 311.1636 58951 8.97 
51s27 88.3931 0.5036 27.2633 288.5270 164.9018 154.3904 58951 7.89 
51s28 88.3478 0.5412 8.4964 83.0485 247.3925 88.2663 58951 8.53 
51s29 88.3980 0.5610 10.1612 193.0838 247.5713 93.3628 58951 8.53 
51s30 88.5846 0.5941 3.3778 167.7056 299.2273 53.1385 58951 8.53 
51s31 88.3980 0.6083 26.0360 29.3961 7.0331 250.9256 58951 7.00 
51s32 88.5938 0.4990 22.9289 219.8089 282.6773 117.2462 58951 8.55 
51s33 88.4605 0.6203 16.8727 266.6236 16.3861 93.7983 58951 8.65 
51s34 88.3924 0.5295 7.5214 222.7263 177.7259 285.7153 58951 7.85 
51s35 88.3800 0.6066 13.2192 43.6362 106.2811 225.2208 58951 8.78 
51s36 88.4536 0.5903 31.0153 140.0266 49.4021 63.0040 58951 8.99 
51s37 88.2979 0.5165 16.0454 338.6445 246.8421 300.1203 58951 8.23 
51s38 88.4137 0.5066 38.1943 352.4582 80.7082 121.3524 58951 8.20 
51s39 88.5538 0.5738 14.5141 294.6980 252.4339 153.1402 58951 8.75 
