!!id a e inc node peri ma epoch H
51t1 88.3151 0.5554 39.5497 288.8459 255.0032 14.2753 58951 7.90 
51t2 88.2158 0.6004 18.6207 303.6089 259.9791 80.5200 58951 8.64 
51t3 88.5293 0.5201 6.5412 259.4770 315.2485 80.0500 58951 8.27 
51t4 88.2489 0.5940 31.3867 24.7175 95.4164 179.2096 58951 8.23 
51t5 88.4590 0.6063 3.5802 32.9662 231.2730 214.2802 58951 7.94 
51t6 88.2615 0.5848 21.3335 59.0398 208.4701 8.4944 58951 8.52 
51t7 88.3470 0.6151 33.0869 229.4174 196.0023 261.2756 58951 8.72 
51t8 88.5182 0.5086 11.3471 5.8957 187.8724 76.2645 58951 8.68 
51t9 88.5432 0.5383 17.9394 319.9433 106.2318 256.5018 58951 8.69 
51t10 88.3232 0.5047 32.8398 276.2078 265.8990 8.0374 58951 8.52 
51t11 88.2523 0.5690 15.6657 130.8040 154.3511 345.0230 58951 8.72 
51t12 88.2688 0.6103 7.9736 208.1258 217.2864 324.4113 58951 8.95 
51t13 88.3924 0.5910 48.5579 315.4724 314.2513 4.9414 58951 8.31 
51t14 88.5160 0.5628 23.7485 71.2518 9.8654 182.8239 58951 7.54 
51t15 88.4387 0.5571 24.9147 140.4134 257.7650 324.8220 58951 8.55 
51t16 88.2190 0.5492 12.2150 339.2904 296.2651 145.4653 58951 8.91 
51t17 88.3299 0.5366 23.1631 45.7645 151.3533 228.0413 58951 8.61 
51t18 88.4743 0.5628 16.0718 13.7680 81.0068 107.5115 58951 8.93 
51t19 88.5887 0.5269 7.3787 345.7746 6.0555 122.3911 58951 8.45 
51t20 88.2424 0.5246 8.0559 346.7976 352.6259 116.5092 58951 8.94 
51t21 88.3826 0.5643 25.2209 92.3585 276.8822 333.3846 58951 8.93 
51t22 88.5271 0.5539 4.3059 136.4633 10.9207 309.4342 58951 8.90 
51t23 88.5892 0.5774 18.4853 186.7400 123.5246 278.4264 58951 8.57 
51t24 88.5077 0.4978 32.7969 198.9488 263.2035 170.7528 58951 8.80 
51t25 88.2725 0.4862 31.1613 29.7835 195.7253 357.9922 58951 7.65 
51t26 88.2915 0.5047 11.4968 146.8164 316.0119 27.7959 58951 8.82 
51t27 88.2725 0.5597 11.1581 135.7837 272.2404 189.9347 58951 8.71 
51t28 88.3346 0.6173 11.0086 88.4459 252.7979 351.2450 58951 8.92 
51t29 88.3610 0.5466 11.5694 291.3145 25.6981 204.4458 58951 8.83 
51t30 88.2389 0.4908 26.5667 64.2859 299.5725 272.6567 58951 8.41 
51t31 88.4947 0.6043 16.4799 323.2569 22.5574 37.1502 58951 8.68 
51t32 88.4233 0.5104 6.7637 185.3813 148.0329 258.9201 58951 8.62 
51t33 88.4172 0.6036 8.5053 56.7006 319.8077 48.2650 58951 8.92 
51t34 88.4261 0.4863 25.1739 101.8075 344.3427 177.1190 58951 8.94 
51t35 88.3128 0.6026 11.2498 34.5138 290.5269 121.6829 58951 8.74 
51t36 88.5347 0.5845 9.0131 276.3785 44.3527 346.2361 58951 7.97 
51t37 88.4656 0.5035 15.4634 353.5715 35.7234 51.3694 58951 8.36 
51t38 88.5757 0.6080 17.8761 149.1165 209.3390 127.2504 58951 8.99 
51t39 88.3890 0.5523 29.8383 92.8610 149.4999 138.8195 58951 8.14 
51t40 88.4818 0.5945 20.5025 185.9940 49.4635 68.5100 58951 8.90 
51t41 88.5559 0.5773 41.8787 72.2613 252.8408 350.8411 58951 7.92 
51t42 88.5170 0.5215 13.6737 297.3425 101.3989 46.4134 58951 8.83 
51t43 88.3133 0.6044 2.0726 108.7089 44.3159 317.4083 58951 8.70 
51t44 88.3040 0.5649 17.7650 139.9627 229.1872 337.6013 58951 8.48 
51t45 88.4861 0.6132 5.1664 161.0894 1.7265 226.3505 58951 7.72 
51t46 88.3732 0.5851 26.6732 196.3255 352.7245 303.7741 58951 8.87 
51t47 88.2273 0.6064 3.9712 144.3883 204.7858 118.4571 58951 8.51 
51t48 88.5007 0.5828 15.5459 258.8234 48.8348 204.9617 58951 8.87 
51t49 88.4286 0.5207 31.2139 22.0958 297.4507 115.2162 58951 8.96 
51t50 88.5782 0.5807 32.1431 80.1029 82.4768 311.7851 58951 8.71 
51t51 88.4165 0.5190 8.6815 209.4906 121.5008 68.9082 58951 8.29 
51t52 88.5387 0.6106 31.6817 140.5089 218.5588 267.4298 58951 8.54 
51t53 88.4846 0.5804 3.4901 62.8887 348.7770 110.3493 58951 8.85 
51t54 88.2126 0.5276 29.9258 76.3721 45.8471 33.4631 58951 8.73 
51t55 88.4032 0.5715 22.3164 26.1485 293.2094 137.5240 58951 8.47 
51t56 88.2071 0.6212 17.0762 261.2749 70.5241 59.6595 58951 8.97 
51t57 88.2916 0.6097 6.6283 261.3628 279.7437 296.1722 58951 7.44 
51t58 88.3704 0.5195 13.5946 3.5699 303.9076 61.7461 58951 7.50 
51t59 88.3736 0.6164 11.2135 340.7772 146.8605 98.9276 58951 8.92 
51t60 88.5912 0.5925 10.3236 194.1794 292.1989 102.8269 58951 8.66 
51t61 88.5905 0.4965 13.0157 54.3719 74.8767 174.3420 58951 8.44 
51t62 88.3742 0.5939 31.8434 296.5189 209.1847 94.6025 58951 8.81 
51t63 88.3549 0.5641 26.5091 300.0849 320.7786 154.6218 58951 8.62 
51t64 88.4988 0.5282 34.6507 133.6032 160.7809 69.8631 58951 8.49 
51t65 88.5392 0.5833 38.5846 45.4785 48.0618 183.4913 58951 8.75 
51t66 88.4169 0.5894 40.9616 185.1000 257.2065 20.8711 58951 8.41 
51t67 88.4648 0.6079 19.4615 44.6519 201.2404 299.5778 58951 8.97 
51t68 88.3016 0.5609 30.2537 9.4560 212.4226 148.6950 58951 8.34 
51t69 88.5198 0.5872 12.0096 272.1103 3.6682 217.1350 58951 8.92 
51t70 88.2285 0.5886 5.2620 100.9194 45.3159 309.8347 58951 8.62 
51t71 88.3240 0.5935 13.9649 139.8014 281.2436 42.7748 58951 8.81 
51t72 88.4316 0.6135 22.6492 136.0148 215.0218 60.0831 58951 8.60 
51t73 88.2530 0.5414 23.8381 38.8465 160.7760 311.0527 58951 8.54 
51t74 88.2557 0.5622 10.0300 164.9796 146.5557 348.1991 58951 8.94 
51t75 88.5883 0.5227 21.6303 47.4306 294.6073 127.8399 58951 7.01 
51t76 88.3960 0.5269 18.1733 220.6143 94.4370 282.0216 58951 7.79 
51t77 88.4393 0.5975 16.9401 47.3633 55.3828 109.0832 58951 8.86 
51t78 88.2368 0.5639 21.0380 296.6409 193.9616 25.8619 58951 8.38 
51t79 88.4624 0.5791 11.0653 44.6442 70.2392 167.4965 58951 7.82 
51t80 88.2733 0.5342 20.8306 313.9275 326.2547 287.7483 58951 8.99 
51t81 88.3834 0.5036 11.4384 52.8338 151.5761 11.4172 58951 8.43 
51t82 88.5173 0.5619 7.7716 29.6673 248.1964 221.5227 58951 8.29 
51t83 88.4104 0.5938 27.5854 357.3447 278.3416 216.6765 58951 8.16 
51t84 88.3877 0.5775 15.8545 334.4771 100.6437 188.2024 58951 7.65 
51t85 88.2123 0.5375 23.1127 283.5040 308.5323 74.0823 58951 8.62 
51t86 88.3543 0.5451 16.5539 148.4115 341.8357 165.1540 58951 8.55 
51t87 88.2589 0.5293 4.6864 144.1755 35.4626 146.4393 58951 8.74 
51t88 88.5653 0.6119 23.3151 113.1468 345.6941 28.8578 58951 6.64 
51t89 88.2071 0.5920 33.1928 256.3680 232.8742 19.0666 58951 8.76 
51t90 88.2197 0.5914 6.4292 161.3564 264.5735 321.2644 58951 8.95 
