id 	 q 	 e 	 i 	 peri 	 node 	 TD 	 ep 
0	0.0090	1.000	145.74	80.11	356.73	20311129.61752	20120815.000
1	0.0052	1.000	143.05	86.29	9.78	20291128.64638	20120815.000
2	0.0050	1.000	138.07	75.56	353.17	20221118.25912	20120815.000
3	0.0053	1.000	145.12	71.56	23.64	20311226.27036	20120815.000
4	0.0047	1.000	147.36	91.62	359.56	20290201.79491	20120815.000
5	0.0058	1.000	144.02	96.69	2.12	20260708.32251	20120815.000
6	0.0051	1.000	144.56	71.67	7.88	20310127.16825	20120815.000
7	0.0052	1.000	144.27	83.57	9.92	20230531.50966	20120815.000
8	0.0054	1.000	143.51	91.18	14.92	20230303.50481	20120815.000
9	0.0057	1.000	147.51	87.81	16.02	20281113.61689	20120815.000
10	0.0080	1.000	145.78	63.19	3.08	20250507.84500	20120815.000
11	0.0046	1.000	145.67	100.41	2.61	20260326.84868	20120815.000
12	0.0054	1.000	145.12	80.33	18.90	20241222.13157	20120815.000
13	0.0056	1.000	143.17	83.89	27.47	20251013.69237	20120815.000
14	0.0051	1.000	136.53	69.76	348.55	20231111.56850	20120815.000
15	0.0050	1.000	144.84	87.51	4.90	20230312.68672	20120815.000
16	0.0051	1.000	143.22	87.25	7.82	20271021.62763	20120815.000
17	0.0047	1.000	141.36	72.62	16.23	20301214.62200	20120815.000
18	0.0054	1.000	142.49	70.34	19.41	20310217.41625	20120815.000
19	0.0050	1.000	146.29	78.09	0.56	20280619.99666	20120815.000
20	0.0054	1.000	145.35	83.39	8.58	20251211.92376	20120815.000
21	0.0055	1.000	144.02	86.93	333.89	20290314.44649	20120815.000
22	0.0055	1.000	145.64	77.69	359.75	20290708.59314	20120815.000
23	0.0052	1.000	144.84	89.57	16.05	20220329.71697	20120815.000
24	0.0055	1.000	142.91	85.25	4.36	20290122.55422	20120815.000
25	0.0056	1.000	145.99	91.07	5.93	20221223.66949	20120815.000
26	0.0051	1.000	145.52	86.61	7.27	20270208.64620	20120815.000
27	0.0054	1.000	146.36	82.91	359.61	20230826.31620	20120815.000
28	0.0047	1.000	143.44	80.41	328.70	20291108.03538	20120815.000
29	0.0063	1.000	147.06	88.88	5.47	20250825.51178	20120815.000
30	0.0050	1.000	145.20	75.26	17.88	20281224.79475	20120815.000
31	0.0062	1.000	144.39	107.34	3.61	20231117.09958	20120815.000
32	0.0048	1.000	140.82	71.85	5.63	20300313.47226	20120815.000
33	0.0089	1.000	145.61	73.12	341.69	20230309.64662	20120815.000
34	0.0045	1.000	145.85	67.70	316.53	20260828.06016	20120815.000
35	0.0051	1.000	142.32	83.75	0.39	20270116.50380	20120815.000
36	0.0055	1.000	142.14	84.91	1.59	20230921.75321	20120815.000
37	0.0046	1.000	145.06	78.23	316.71	20261020.54875	20120815.000
38	0.0085	1.000	142.05	75.20	3.30	20231106.38476	20120815.000
39	0.0050	1.000	146.34	74.86	5.77	20260304.54678	20120815.000
40	0.0050	1.000	145.23	49.93	1.52	20280926.38049	20120815.000
41	0.0052	1.000	130.81	81.18	5.66	20250715.43539	20120815.000
42	0.0052	1.000	144.58	83.11	3.96	20291028.90161	20120815.000
43	0.0080	1.000	144.02	84.51	343.95	20281007.05494	20120815.000
44	0.0073	1.000	142.14	103.69	2.42	20310719.61197	20120815.000
45	0.0052	1.000	139.07	67.53	4.48	20230514.24321	20120815.000
46	0.0052	1.000	131.68	84.20	356.74	20280221.72486	20120815.000
47	0.0068	1.000	144.38	93.04	2.17	20250608.13980	20120815.000
48	0.0046	1.000	145.85	74.44	352.00	20260418.20950	20120815.000
49	0.0052	1.000	144.95	82.19	332.07	20300317.73706	20120815.000
50	0.0054	1.000	145.49	87.12	351.29	20260829.31779	20120815.000
51	0.0048	1.000	142.49	89.44	9.87	20220318.19561	20120815.000
52	0.0052	1.000	143.01	74.88	333.65	20270315.29596	20120815.000
53	0.0048	1.000	142.17	82.31	0.68	20290110.76019	20120815.000
54	0.0052	1.000	143.02	90.88	350.52	20270807.00920	20120815.000
55	0.0053	1.000	141.14	44.53	0.87	20240611.81344	20120815.000
56	0.0046	1.000	139.39	52.18	7.58	20230816.87131	20120815.000
57	0.0078	1.000	144.78	86.22	23.97	20220604.51687	20120815.000
58	0.0053	1.000	145.83	81.99	7.62	20250803.64166	20120815.000
59	0.0053	1.000	147.34	85.22	357.56	20270109.27740	20120815.000
60	0.0046	1.000	143.38	84.39	336.47	20280222.47326	20120815.000
61	0.0075	1.000	143.84	79.22	351.30	20251229.59567	20120815.000
62	0.0054	1.000	146.61	36.84	350.18	20300101.07017	20120815.000
63	0.0063	1.000	144.58	87.72	314.37	20310731.61553	20120815.000
64	0.0051	1.000	144.06	62.12	344.08	20250621.75090	20120815.000
65	0.0054	1.000	147.00	97.77	3.70	20221104.03917	20120815.000
66	0.0063	1.000	144.36	85.85	6.66	20300830.69021	20120815.000
67	0.0046	1.000	145.65	84.17	5.22	20281202.10830	20120815.000
68	0.0044	1.000	145.30	87.16	1.71	20220630.84706	20120815.000
69	0.0049	1.000	144.61	88.60	359.64	20230628.50330	20120815.000
70	0.0059	1.000	136.83	81.52	0.17	20250425.35954	20120815.000
71	0.0045	1.000	144.14	51.10	4.44	20310130.61745	20120815.000
72	0.0045	1.000	143.19	67.15	358.15	20310324.12118	20120815.000
73	0.0041	1.000	136.84	71.70	330.75	20290221.41271	20120815.000
74	0.0051	1.000	143.21	87.44	14.34	20220403.22027	20120815.000
75	0.0049	1.000	142.62	70.20	14.30	20271025.94116	20120815.000
76	0.0051	1.000	145.21	84.29	357.58	20300731.33981	20120815.000
77	0.0058	1.000	145.04	53.92	351.53	20280621.25620	20120815.000
78	0.0046	1.000	143.05	87.56	1.98	20230621.60506	20120815.000
79	0.0050	1.000	144.83	80.00	1.07	20310925.54753	20120815.000
80	0.0068	1.000	145.50	55.31	10.70	20250525.88227	20120815.000
81	0.0050	1.000	145.67	97.47	4.41	20300312.90622	20120815.000
82	0.0051	1.000	143.55	53.96	340.41	20251129.48236	20120815.000
83	0.0053	1.000	145.99	85.90	7.78	20221216.60799	20120815.000
84	0.0061	1.000	147.57	99.61	311.92	20220109.16032	20120815.000
85	0.0058	1.000	144.81	89.91	0.58	20251123.72685	20120815.000
86	0.0055	1.000	143.67	79.43	6.44	20301225.91801	20120815.000
87	0.0075	1.000	145.83	72.44	358.13	20301207.68117	20120815.000
88	0.0075	1.000	144.26	79.05	347.47	20260724.90013	20120815.000
89	0.0046	1.000	137.33	74.22	16.51	20310317.52549	20120815.000
90	0.0051	1.000	142.29	88.45	338.27	20230106.19061	20120815.000
91	0.0054	1.000	146.07	94.54	357.01	20280815.57042	20120815.000
92	0.0050	1.000	145.29	69.35	351.97	20310312.04163	20120815.000
93	0.0049	1.000	144.67	91.83	9.61	20240501.63175	20120815.000
94	0.0065	1.000	145.29	83.93	2.75	20241106.23159	20120815.000
95	0.0052	1.000	142.82	89.94	7.16	20231017.24788	20120815.000
96	0.0056	1.000	143.80	73.34	327.60	20240620.04612	20120815.000
97	0.0053	1.000	144.81	74.46	11.69	20300818.96447	20120815.000
98	0.0047	1.000	144.74	88.21	340.63	20241225.18205	20120815.000
99	0.0054	1.000	144.56	45.61	5.49	20260917.45353	20120815.000
100	0.0054	1.000	144.26	76.80	5.42	20261101.67819	20120815.000
101	0.0054	1.000	138.18	90.29	12.84	20310630.79227	20120815.000
102	0.0048	1.000	146.50	88.21	5.30	20230719.88178	20120815.000
103	0.0052	1.000	143.13	81.83	1.03	20220325.60862	20120815.000
104	0.0051	1.000	139.73	99.85	353.27	20221030.31866	20120815.000
105	0.0054	1.000	144.04	85.76	8.56	20270404.55544	20120815.000
106	0.0054	1.000	139.61	86.03	325.31	20291231.07271	20120815.000
107	0.0088	1.000	134.95	76.13	7.75	20230215.94346	20120815.000
108	0.0055	1.000	142.40	79.51	352.84	20260809.83477	20120815.000
109	0.0063	1.000	145.95	80.37	359.69	20230429.90775	20120815.000
110	0.0055	1.000	146.03	77.54	6.17	20300615.40312	20120815.000
111	0.0050	1.000	145.08	78.65	1.25	20270426.71476	20120815.000
112	0.0052	1.000	142.71	82.35	36.04	20290623.16116	20120815.000
113	0.0068	1.000	144.01	88.19	5.34	20281127.24586	20120815.000
114	0.0052	1.000	144.30	42.29	4.25	20270510.32940	20120815.000
115	0.0075	1.000	146.20	82.67	297.81	20230305.75784	20120815.000
116	0.0079	1.000	145.62	80.62	2.73	20230524.74622	20120815.000
117	0.0055	1.000	145.86	88.52	357.38	20290822.12288	20120815.000
118	0.0047	1.000	134.69	82.26	15.09	20240531.69946	20120815.000
119	0.0056	1.000	138.51	81.48	355.87	20290129.38427	20120815.000
120	0.0056	1.000	134.53	70.33	8.33	20260614.77679	20120815.000
121	0.0050	1.000	140.51	80.29	347.67	20220605.92319	20120815.000
122	0.0053	1.000	140.40	96.45	1.07	20291117.36623	20120815.000
123	0.0052	1.000	144.52	71.11	5.04	20270611.24223	20120815.000
124	0.0053	1.000	145.82	96.83	7.31	20280413.27788	20120815.000
125	0.0048	1.000	145.06	88.18	4.17	20290120.59727	20120815.000
126	0.0052	1.000	142.64	51.07	1.18	20251106.16690	20120815.000
127	0.0051	1.000	145.06	78.94	0.51	20311108.71998	20120815.000
128	0.0053	1.000	145.79	81.47	1.64	20291226.87905	20120815.000
129	0.0052	1.000	133.46	87.67	14.63	20280417.59289	20120815.000
130	0.0052	1.000	142.63	83.44	347.03	20290314.04273	20120815.000
131	0.0063	1.000	142.66	71.86	14.40	20230720.50580	20120815.000
132	0.0054	1.000	144.97	85.51	359.26	20240508.36892	20120815.000
133	0.0053	1.000	142.98	73.16	9.36	20251204.85256	20120815.000
134	0.0068	1.000	145.29	75.48	0.38	20240429.59068	20120815.000
135	0.0054	1.000	142.57	82.87	1.00	20291204.04999	20120815.000
136	0.0057	1.000	142.64	71.03	6.48	20240403.41015	20120815.000
137	0.0054	1.000	142.86	86.34	21.24	20220113.98946	20120815.000
138	0.0051	1.000	144.74	81.88	3.08	20220112.28712	20120815.000
139	0.0058	1.000	144.96	88.33	354.63	20310117.88456	20120815.000
140	0.0062	1.000	144.78	49.96	6.75	20260720.53791	20120815.000
141	0.0053	1.000	143.61	108.17	19.11	20220502.37939	20120815.000
142	0.0074	1.000	143.79	88.27	0.46	20250426.20995	20120815.000
143	0.0052	1.000	144.59	77.00	334.96	20270819.09146	20120815.000
144	0.0054	1.000	145.80	75.76	22.87	20230506.30417	20120815.000
145	0.0049	1.000	143.41	57.58	312.14	20281214.66601	20120815.000
146	0.0056	1.000	143.34	98.02	5.94	20280226.49179	20120815.000
147	0.0052	1.000	144.62	95.32	0.20	20260411.91220	20120815.000
148	0.0080	1.000	142.21	87.23	7.03	20250528.18884	20120815.000
149	0.0089	1.000	145.32	77.23	9.34	20281020.33495	20120815.000
150	0.0056	1.000	143.41	87.56	0.86	20290621.74609	20120815.000
151	0.0052	1.000	135.68	80.24	348.83	20300530.62471	20120815.000
152	0.0047	1.000	141.99	62.45	354.10	20221202.37074	20120815.000
153	0.0054	1.000	145.77	82.22	321.57	20280205.46363	20120815.000
154	0.0060	1.000	144.91	72.14	19.29	20220328.33152	20120815.000
155	0.0049	1.000	143.96	102.46	352.64	20310706.88468	20120815.000
156	0.0055	1.000	145.14	85.25	6.70	20260606.61902	20120815.000
157	0.0047	1.000	144.00	74.12	8.28	20280525.65083	20120815.000
158	0.0053	1.000	144.22	86.55	8.19	20270919.91854	20120815.000
159	0.0045	1.000	145.64	77.38	8.45	20280506.81752	20120815.000
160	0.0068	1.000	145.10	66.90	1.20	20261002.82638	20120815.000
161	0.0055	1.000	147.96	59.80	339.28	20260513.00816	20120815.000
162	0.0046	1.000	145.02	91.03	17.48	20220501.23444	20120815.000
163	0.0050	1.000	138.30	34.57	2.06	20271116.02757	20120815.000
164	0.0047	1.000	142.53	86.98	0.01	20221020.99516	20120815.000
165	0.0051	1.000	144.13	83.55	351.27	20300122.99962	20120815.000
166	0.0047	1.000	145.94	68.26	19.20	20290324.52976	20120815.000
167	0.0052	1.000	144.64	85.86	4.17	20310827.45631	20120815.000
168	0.0058	1.000	144.56	77.04	359.92	20230609.40571	20120815.000
169	0.0053	1.000	142.80	72.68	20.52	20230922.51956	20120815.000
170	0.0050	1.000	142.97	73.93	7.62	20270607.39547	20120815.000
171	0.0051	1.000	140.25	77.18	2.67	20240823.21281	20120815.000
172	0.0062	1.000	144.68	87.33	335.26	20260131.63389	20120815.000
173	0.0086	1.000	144.57	88.10	350.16	20280831.33957	20120815.000
174	0.0055	1.000	145.88	83.89	322.20	20270503.08562	20120815.000
175	0.0075	1.000	141.68	76.23	15.73	20280415.22488	20120815.000
176	0.0064	1.000	146.30	85.11	7.15	20250530.34250	20120815.000
177	0.0055	1.000	145.80	85.55	350.96	20260127.74699	20120815.000
178	0.0046	1.000	145.09	87.16	357.85	20250423.45784	20120815.000
179	0.0053	1.000	142.48	70.99	4.70	20280526.12541	20120815.000
180	0.0055	1.000	142.20	84.86	3.26	20280726.69370	20120815.000
181	0.0052	1.000	142.97	84.00	17.63	20310220.16656	20120815.000
182	0.0055	1.000	142.79	93.10	354.56	20300602.13166	20120815.000
183	0.0063	1.000	143.19	78.06	358.21	20270518.31998	20120815.000
184	0.0055	1.000	145.26	87.58	359.13	20251003.82157	20120815.000
185	0.0051	1.000	144.63	98.55	24.05	20221217.76039	20120815.000
186	0.0054	1.000	144.28	76.20	3.92	20290709.30402	20120815.000
187	0.0094	1.000	144.82	82.87	350.64	20240216.74955	20120815.000
188	0.0049	1.000	144.88	84.54	1.04	20310318.36160	20120815.000
189	0.0049	1.000	143.85	67.98	334.56	20300305.15425	20120815.000
190	0.0054	1.000	146.16	84.63	8.63	20301118.52622	20120815.000
191	0.0060	1.000	146.54	70.12	7.95	20280625.10738	20120815.000
192	0.0049	1.000	145.45	88.22	9.30	20280201.26669	20120815.000
193	0.0053	1.000	138.56	66.00	359.05	20230814.13958	20120815.000
194	0.0055	1.000	145.45	73.41	353.52	20310527.78999	20120815.000
195	0.0057	1.000	142.51	74.97	6.13	20261207.02887	20120815.000
196	0.0055	1.000	133.52	89.17	8.34	20230102.79493	20120815.000
197	0.0055	1.000	143.17	88.50	354.90	20290815.55523	20120815.000
198	0.0094	1.000	144.97	65.90	330.89	20250617.24211	20120815.000
199	0.0058	1.000	145.35	85.83	346.47	20251125.70284	20120815.000
200	0.0052	1.000	142.05	99.06	9.66	20310424.54707	20120815.000
201	0.0051	1.000	145.53	53.23	2.82	20260121.30058	20120815.000
202	0.0063	1.000	144.98	83.09	7.86	20281005.72807	20120815.000
203	0.0051	1.000	133.88	85.55	353.96	20270415.55565	20120815.000
204	0.0056	1.000	143.75	87.08	354.77	20310306.96110	20120815.000
205	0.0051	1.000	145.52	87.42	8.21	20280522.56819	20120815.000
206	0.0060	1.000	144.56	70.89	9.22	20240408.48531	20120815.000
207	0.0048	1.000	145.07	90.40	330.85	20290219.80743	20120815.000
208	0.0055	1.000	144.35	86.43	5.66	20240219.85519	20120815.000
209	0.0063	1.000	142.50	81.29	17.28	20301018.78977	20120815.000
210	0.0063	1.000	138.52	75.80	3.05	20271128.47291	20120815.000
211	0.0047	1.000	144.21	86.92	355.31	20241117.66015	20120815.000
212	0.0050	1.000	145.69	80.96	0.02	20260728.60152	20120815.000
213	0.0054	1.000	147.00	51.97	4.66	20221125.34961	20120815.000
214	0.0073	1.000	146.78	76.54	1.49	20240417.44567	20120815.000
215	0.0053	1.000	145.07	76.02	11.63	20250618.33890	20120815.000
216	0.0052	1.000	136.11	84.08	1.50	20230815.63247	20120815.000
217	0.0048	1.000	142.60	82.55	17.51	20221001.35741	20120815.000
218	0.0054	1.000	144.20	68.19	359.14	20290924.09270	20120815.000
219	0.0052	1.000	143.65	86.34	353.90	20260117.30301	20120815.000
220	0.0046	1.000	144.51	78.10	350.58	20250411.83455	20120815.000
221	0.0059	1.000	142.57	52.67	0.97	20310717.46203	20120815.000
222	0.0051	1.000	139.52	89.22	334.23	20250415.34832	20120815.000
223	0.0054	1.000	140.47	75.40	332.88	20280131.37700	20120815.000
224	0.0045	1.000	134.90	83.75	9.17	20280520.99586	20120815.000
225	0.0052	1.000	143.12	70.94	2.25	20220320.99322	20120815.000
226	0.0055	1.000	142.39	85.16	333.84	20230825.31314	20120815.000
227	0.0048	1.000	145.24	85.53	337.06	20270703.72072	20120815.000
228	0.0051	1.000	142.77	75.03	331.85	20250904.90218	20120815.000
229	0.0081	1.000	142.01	70.28	318.54	20280503.80544	20120815.000
230	0.0051	1.000	144.29	94.38	4.11	20220621.15674	20120815.000
231	0.0052	1.000	142.61	81.75	4.36	20231027.68411	20120815.000
232	0.0080	1.000	143.34	83.67	2.16	20290904.64814	20120815.000
233	0.0053	1.000	144.98	86.88	359.92	20280802.86963	20120815.000
234	0.0044	1.000	142.08	76.30	8.63	20250507.20532	20120815.000
235	0.0055	1.000	141.74	63.04	2.64	20240916.83755	20120815.000
236	0.0059	1.000	145.79	70.85	5.82	20291102.75961	20120815.000
237	0.0086	1.000	145.39	83.33	17.05	20270217.97346	20120815.000
238	0.0055	1.000	139.61	84.23	356.28	20301026.78859	20120815.000
239	0.0064	1.000	143.67	85.42	2.89	20270605.07023	20120815.000
