!!id a e inc node peri ma epoch H 
0 47.6648 0.3005 4.0520 249.2946 220.4670 140.1045 53157.0 7.0
0 47.7038 0.3166 4.1403 142.9001 53.4263 273.8444 53157.0 7.0
0 47.8791 0.2897 12.1420 46.5840 312.5249 193.7306 53157.0 7.0
6 47.7817 0.2223 2.8103 145.5342 102.4773 101.2056 53157.0 7.0
9 47.9588 0.3042 1.8635 13.0635 168.2784 284.6517 53157.0 7.0
10 47.8851 0.3279 14.4852 238.0644 295.6651 107.4448 53157.0 7.0
12 47.8698 0.3332 3.5990 126.9414 355.6262 311.2187 53157.0 7.0
12 47.7885 0.2946 5.9383 341.1091 200.8356 93.5705 53157.0 7.0
12 47.7135 0.3617 8.6844 103.5888 300.3202 160.1134 53157.0 7.0
12 47.9631 0.2955 3.8192 235.3987 254.6965 146.8318 53157.0 7.0
15 47.7520 0.2926 2.1467 330.0551 93.2151 340.2380 53157.0 7.0
15 47.8739 0.2252 3.5056 263.3170 122.5845 7.5550 53157.0 7.0
15 47.8719 0.3028 13.6664 176.8926 21.9139 262.3567 53157.0 7.0
15 47.9032 0.2573 1.6671 339.8776 303.1199 52.6837 53157.0 7.0
15 47.8813 0.2804 4.2256 17.0891 354.7370 7.5052 53157.0 7.0
18 47.6628 0.2270 5.2775 54.7132 248.8232 22.5108 53157.0 7.0
18 47.6120 0.4204 1.6282 121.4390 254.7479 182.0533 53157.0 7.0
19 47.9971 0.3200 2.7225 53.0536 222.6157 53.1706 53157.0 7.0
19 47.8719 0.1814 6.3442 124.7746 172.2721 52.9050 53157.0 7.0
19 47.7219 0.1815 6.0690 153.5870 68.8125 83.1044 53157.0 7.0
20 47.9002 0.2455 13.3423 100.6137 316.8839 343.0306 53157.0 7.0
22 47.6246 0.1605 5.5629 294.5439 231.9818 149.8074 53157.0 7.0
22 47.7032 0.2464 13.4086 293.7721 196.2843 308.6475 53157.0 7.0
23 47.8916 0.3181 15.2403 269.1838 330.7632 72.4803 53157.0 7.0
24 47.7478 0.2875 13.4893 321.7564 327.0012 226.3560 53157.0 7.0
25 47.7749 0.2640 3.0025 173.1127 240.4830 354.8928 53157.0 7.0
26 47.7033 0.2757 2.1362 96.9743 89.4150 100.1613 53157.0 7.0
