!!id a e inc node peri ma epoch H 
1 47.9129 0.0984 3.2813 69.2061 57.6389 253.6927 53157.0 7.0
2 47.7219 0.1560 6.9509 281.0160 285.5133 200.0891 53157.0 7.0
3 47.6880 0.2608 8.1207 99.3235 352.3285 224.9122 53157.0 7.0
4 47.6565 0.1669 18.5120 95.3343 173.0226 134.2546 53157.0 7.0
5 47.9599 0.2705 11.9226 233.2446 26.5380 253.9231 53157.0 7.0
6 47.7642 0.1402 3.2628 140.5844 348.1456 17.3574 53157.0 7.0
7 47.9202 0.1869 3.5918 318.6733 224.7395 233.6985 53157.0 7.0
8 47.7290 0.1331 1.9215 102.6256 270.0524 130.6939 53157.0 7.0
9 47.7809 0.1409 1.9002 278.5133 11.8383 181.1437 53157.0 7.0
10 47.8246 0.1814 4.8271 275.9979 147.7028 2.8930 53157.0 7.0
11 47.7927 0.1302 9.7435 175.0700 341.0234 45.7227 53157.0 7.0
12 47.6939 0.2960 13.1543 111.4159 53.0663 88.5776 53157.0 7.0
13 47.9374 0.2149 4.1978 261.0388 245.4557 285.5086 53157.0 7.0
14 47.7595 0.1148 9.4030 348.6255 68.2273 51.6581 53157.0 7.0
15 47.9835 0.1188 10.2165 155.3182 299.3478 247.7714 53157.0 7.0
16 47.8257 0.2343 12.2080 178.3733 54.3031 268.6790 53157.0 7.0
17 47.7490 0.1466 12.0720 74.8270 258.8292 205.8417 53157.0 7.0
18 47.8688 0.2935 13.0472 303.2988 221.1762 136.1679 53157.0 7.0
19 47.6128 0.1877 10.5547 62.9405 264.5685 1.5427 53157.0 7.0
20 47.6900 0.2016 0.4946 20.5641 320.4823 279.2824 53157.0 7.0
21 47.7732 0.2481 8.7164 224.1102 320.6578 107.0900 53157.0 7.0
22 47.9200 0.0714 7.3963 83.7281 173.6501 226.8561 53157.0 7.0
23 47.8011 0.1553 2.4908 233.9827 306.8028 25.7799 53157.0 7.0
24 47.8818 0.2137 7.9979 49.2742 316.0729 301.3429 53157.0 7.0
25 47.9543 0.1991 7.5970 48.5949 338.3402 159.6330 53157.0 7.0
26 47.6840 0.1159 5.3302 220.5812 189.5008 118.7801 53157.0 7.0
27 47.9513 0.2653 10.4536 347.0525 110.8038 235.4146 53157.0 7.0
28 47.6243 0.2478 13.4123 100.0147 175.5132 59.8441 53157.0 7.0
29 47.8107 0.1298 15.8677 342.1573 0.3358 140.4908 53157.0 7.0
30 47.7901 0.2649 15.4257 43.8203 26.5708 344.1130 53157.0 7.0
31 47.6141 0.1581 11.8396 100.7613 203.2917 48.3990 53157.0 7.0
