!!id a e inc node peri ma epoch H 
1 47.6685 0.2450 5.5070 69.6110 324.2622 101.0725 53157.0 7.0
2 47.9040 0.3192 14.1517 309.4903 272.2171 12.6026 53157.0 7.0
3 47.6829 0.2602 7.6134 324.5698 143.5226 249.8540 53157.0 7.0
4 47.7602 0.1916 12.6075 158.1619 117.8881 164.5881 53157.0 7.0
5 47.8163 0.3434 5.2234 90.3975 326.4995 93.6717 53157.0 7.0
6 47.9943 0.2371 1.1142 182.1091 221.9793 256.9932 53157.0 7.0
7 47.6425 0.2883 7.6365 130.3650 165.5852 156.1731 53157.0 7.0
8 47.9627 0.2703 14.0747 343.5737 152.4354 68.1405 53157.0 7.0
9 47.9869 0.2947 5.5321 140.3560 274.9002 274.3020 53157.0 7.0
10 47.8835 0.2307 14.7393 119.3944 165.2106 342.1006 53157.0 7.0
11 47.8491 0.2026 4.8344 312.3698 348.9218 293.0563 53157.0 7.0
12 47.9140 0.2782 5.9650 336.6551 345.8456 324.0070 53157.0 7.0
13 47.9904 0.1903 8.5196 95.0805 139.6927 187.1738 53157.0 7.0
14 47.9400 0.2460 6.5591 174.1557 54.0897 184.3477 53157.0 7.0
15 47.6895 0.3061 1.5512 219.7794 152.2739 277.4641 53157.0 7.0
16 47.6166 0.4191 2.6543 291.5767 105.8009 285.8623 53157.0 7.0
17 47.7005 0.3186 3.8601 238.8164 132.5196 106.0926 53157.0 7.0
18 47.9695 0.2574 7.0635 182.6470 116.5055 132.7480 53157.0 7.0
19 47.7766 0.3540 11.4130 203.8092 244.2642 257.0151 53157.0 7.0
20 47.8023 0.2066 4.8906 224.7192 134.2751 265.9145 53157.0 7.0
21 47.7806 0.2410 8.3947 313.2302 51.3895 292.8836 53157.0 7.0
22 47.6573 0.3201 11.2443 340.7680 190.3518 211.7978 53157.0 7.0
23 47.9229 0.4058 4.0928 83.5729 252.8550 134.0065 53157.0 7.0
24 47.7906 0.2252 8.5565 354.3875 348.6381 140.1401 53157.0 7.0
25 47.8458 0.3228 2.2774 133.8940 245.6735 285.0638 53157.0 7.0
26 47.9625 0.2398 2.4239 82.1557 338.6094 89.5612 53157.0 7.0
27 47.7294 0.2764 4.4737 94.1916 150.5419 341.7056 53157.0 7.0
28 47.9147 0.1887 4.2415 358.5276 357.8156 293.7190 53157.0 7.0
29 47.8422 0.3321 9.9351 278.4131 147.9343 64.4927 53157.0 7.0
30 47.9001 0.3050 8.9397 303.7122 329.4145 342.2069 53157.0 7.0
31 47.7987 0.1965 8.4441 160.1015 91.5953 325.6917 53157.0 7.0
32 47.8184 0.2900 2.9514 250.0933 106.7302 304.9565 53157.0 7.0
33 47.6155 0.2763 11.5264 59.1238 305.5271 109.6025 53157.0 7.0
34 47.6223 0.3785 1.7388 1.9514 270.6905 344.0360 53157.0 7.0
35 47.8241 0.1461 7.9216 74.5872 130.2944 198.0898 53157.0 7.0
36 47.9920 0.2359 5.2230 80.0503 141.9015 355.5925 53157.0 7.0
37 47.6096 0.3121 6.2670 225.1727 59.9732 339.9811 53157.0 7.0
38 47.8748 0.3303 5.4469 221.3143 326.8022 36.7879 53157.0 7.0
39 47.9158 0.2504 10.2673 95.8740 296.7947 104.6014 53157.0 7.0
40 47.8204 0.1587 5.3414 294.4629 98.9474 265.6975 53157.0 7.0
41 47.9944 0.2511 2.2091 152.5003 217.3057 292.6090 53157.0 7.0
42 47.8254 0.3429 3.9993 271.7370 266.4085 223.6517 53157.0 7.0
43 47.6859 0.1392 4.5789 62.1996 116.7205 357.5580 53157.0 7.0
44 47.9119 0.2982 6.8208 334.7785 168.2541 48.4276 53157.0 7.0
45 47.9212 0.2097 6.2557 353.3267 58.8324 98.4072 53157.0 7.0
46 47.7381 0.3084 9.1406 127.5699 309.8628 79.5394 53157.0 7.0
47 47.8626 0.2052 8.4810 295.5314 227.4957 187.2075 53157.0 7.0
48 47.7889 0.3375 6.3546 9.8860 316.7185 139.3869 53157.0 7.0
49 47.8419 0.2619 12.9642 326.3109 206.8166 15.7009 53157.0 7.0
50 47.8344 0.2886 5.5703 4.7785 311.4913 140.5455 53157.0 7.0
51 47.9771 0.3617 5.0237 108.5971 81.2844 27.5675 53157.0 7.0
52 47.6608 0.2500 13.7027 11.4473 357.1672 293.1050 53157.0 7.0
53 47.8508 0.2452 6.9201 33.7095 294.9674 294.0990 53157.0 7.0
54 47.9133 0.2399 1.7521 228.2898 198.9450 92.5238 53157.0 7.0
55 47.6130 0.3666 6.6633 216.4799 90.2833 147.8018 53157.0 7.0
56 47.7320 0.2660 7.2071 318.9378 310.9489 343.7574 53157.0 7.0
57 47.7873 0.3330 7.0009 353.2017 179.9893 217.0265 53157.0 7.0
58 47.8204 0.2650 4.8242 100.5095 148.8998 160.4953 53157.0 7.0
59 47.7626 0.3188 7.5122 202.8222 210.0359 270.2462 53157.0 7.0
60 47.6145 0.3172 2.2501 300.7514 122.3990 87.4717 53157.0 7.0
61 47.6699 0.2797 15.4104 286.9703 280.9502 207.6273 53157.0 7.0
62 47.9561 0.1154 14.3337 252.8436 71.4016 111.8577 53157.0 7.0
63 47.8647 0.2132 1.6443 199.7339 153.6455 114.5897 53157.0 7.0
64 47.9495 0.3274 3.0674 84.0482 332.2199 94.6571 53157.0 7.0
65 47.7636 0.2495 6.7863 329.3686 122.9341 237.5818 53157.0 7.0
66 47.9424 0.3341 11.3617 52.8591 229.2134 341.6289 53157.0 7.0
67 47.9241 0.2980 3.3404 65.2872 342.4223 98.5071 53157.0 7.0
68 47.6340 0.2116 7.2833 118.5676 190.5477 145.4882 53157.0 7.0
69 47.9038 0.2619 3.2415 191.8758 342.0483 48.1795 53157.0 7.0
70 47.8407 0.1710 9.6511 268.7761 147.4481 61.3119 53157.0 7.0
71 47.9953 0.2884 2.9290 290.3032 130.8820 90.5550 53157.0 7.0
72 47.6482 0.2253 3.5871 53.7950 241.0598 310.8591 53157.0 7.0
73 47.8018 0.3482 5.4128 230.2059 271.2926 228.9843 53157.0 7.0
74 47.7809 0.2960 16.7275 95.1854 285.9186 105.7137 53157.0 7.0
75 47.9566 0.3359 7.4522 328.6036 244.1944 179.8673 53157.0 7.0
76 47.8378 0.2506 11.0898 200.6185 274.4590 40.2362 53157.0 7.0
77 47.6609 0.3591 5.4905 285.0194 211.9965 51.5783 53157.0 7.0
78 47.8857 0.2144 8.2799 254.9273 341.7474 180.5373 53157.0 7.0
79 47.9470 0.3760 1.3763 145.7675 330.1588 242.2859 53157.0 7.0
80 47.6343 0.2821 6.1614 166.8351 192.1327 294.3997 53157.0 7.0
81 47.8931 0.3259 9.0779 11.5104 26.0869 289.7689 53157.0 7.0
82 47.8252 0.3544 5.6082 48.6211 273.3433 139.5192 53157.0 7.0
83 47.9562 0.2887 5.4706 215.1490 9.4116 358.4228 53157.0 7.0
84 47.7766 0.1965 4.9387 153.6441 311.6604 28.5589 53157.0 7.0
85 47.8143 0.3079 2.0967 298.4750 192.9930 231.7136 53157.0 7.0
86 47.8911 0.3682 6.3621 122.0434 55.8732 30.6372 53157.0 7.0
87 47.6994 0.2641 12.0829 23.0838 81.4528 248.8196 53157.0 7.0
88 47.6805 0.1682 13.6057 281.9627 344.1486 321.1602 53157.0 7.0
89 47.8475 0.3188 7.4659 287.2717 91.7234 276.6302 53157.0 7.0
90 47.9228 0.1565 3.5293 180.8340 135.1024 105.1522 53157.0 7.0
91 47.7436 0.1493 2.0486 308.1760 15.0037 311.8031 53157.0 7.0
92 47.6284 0.2631 7.1147 239.5111 210.7162 250.4138 53157.0 7.0
93 47.6097 0.3842 10.9996 304.1095 51.9967 306.3802 53157.0 7.0
94 47.9666 0.3072 9.7200 295.9153 29.6537 310.6244 53157.0 7.0
95 47.9294 0.2315 4.1422 71.6287 218.0245 319.6181 53157.0 7.0
96 47.6364 0.3268 7.0093 199.6444 332.6936 215.6522 53157.0 7.0
97 47.6850 0.3859 14.0411 96.7301 238.9371 143.5115 53157.0 7.0
98 47.6620 0.3391 4.8753 7.5231 147.5216 38.7030 53157.0 7.0
99 47.9262 0.2598 6.2796 333.4622 277.4639 172.9713 53157.0 7.0
100 47.8201 0.3402 4.1064 298.7056 160.2664 254.5031 53157.0 7.0
101 47.9325 0.3123 4.5696 126.8824 18.9235 222.7323 53157.0 7.0
102 47.7177 0.3207 6.7951 164.8000 53.6165 178.3469 53157.0 7.0
103 47.8234 0.2242 16.5787 313.9277 31.9546 102.1652 53157.0 7.0
104 47.7222 0.2322 5.7540 171.2835 351.1232 21.1972 53157.0 7.0
105 47.7183 0.2326 3.0725 10.3421 239.7177 337.5481 53157.0 7.0
106 47.6220 0.1943 9.6617 261.1741 69.9135 325.5282 53157.0 7.0
107 47.8992 0.2735 2.9294 102.7865 28.1456 234.0871 53157.0 7.0
108 47.6661 0.3948 17.3126 131.3487 307.0241 259.4420 53157.0 7.0
109 47.7117 0.2689 13.6859 208.0235 175.8807 295.0243 53157.0 7.0
110 47.7856 0.2378 12.2394 355.2489 11.6105 289.3790 53157.0 7.0
111 47.6800 0.2527 16.6132 356.7352 268.0492 141.4245 53157.0 7.0
112 47.7566 0.2133 3.0640 19.1506 155.9848 18.1607 53157.0 7.0
113 47.7966 0.3372 3.0419 11.6117 273.2344 165.0851 53157.0 7.0
114 47.9125 0.2808 9.9156 327.8958 171.9488 29.4378 53157.0 7.0
115 47.9667 0.3596 13.8794 43.1030 193.1682 336.2219 53157.0 7.0
116 47.7597 0.2868 11.7292 36.9899 305.9035 128.1938 53157.0 7.0
117 47.8259 0.3109 8.0554 229.2604 327.7414 22.7881 53157.0 7.0
118 47.8778 0.2755 3.3946 288.9312 62.2040 307.2667 53157.0 7.0
119 47.9851 0.2872 7.7066 229.0000 108.3972 141.6907 53157.0 7.0
120 47.8216 0.3057 7.0617 301.2036 144.8438 68.4197 53157.0 7.0
121 47.6719 0.2680 15.8811 133.8941 245.5690 291.8589 53157.0 7.0
122 47.9174 0.2977 4.9670 346.7279 211.2930 202.5762 53157.0 7.0
123 47.9896 0.3405 10.1918 193.3834 12.0405 185.6592 53157.0 7.0
124 47.7180 0.2088 4.1028 352.2444 209.7246 197.8981 53157.0 7.0
125 47.9994 0.2179 10.2582 62.5131 145.6701 175.7088 53157.0 7.0
126 47.8780 0.2451 1.5128 2.5415 327.0015 137.1224 53157.0 7.0
127 47.6476 0.2780 6.1562 2.6596 27.3072 105.5815 53157.0 7.0
128 47.6218 0.1838 6.4457 227.2429 74.3075 322.9928 53157.0 7.0
129 47.7037 0.2053 6.3038 305.3331 101.2147 72.4384 53157.0 7.0
130 47.7931 0.2422 6.8332 134.2798 48.2081 17.7062 53157.0 7.0
131 47.6445 0.3114 15.5978 165.8210 281.3302 254.7974 53157.0 7.0
132 47.6278 0.3149 9.5141 128.9872 111.0086 195.1537 53157.0 7.0
133 47.9565 0.3077 3.5835 197.5080 23.8499 198.2664 53157.0 7.0
134 47.6726 0.3712 14.2100 155.6679 239.2672 105.0200 53157.0 7.0
135 47.8713 0.3098 5.7114 354.8211 178.8853 213.6519 53157.0 7.0
136 47.6267 0.2827 3.8543 173.3203 100.1995 163.4346 53157.0 7.0
137 47.9749 0.2528 7.8487 135.8645 10.7018 38.6480 53157.0 7.0
138 47.7794 0.1834 5.2427 95.3266 24.0859 251.8951 53157.0 7.0
139 47.6096 0.3524 2.0849 49.6708 286.3679 327.6014 53157.0 7.0
140 47.7872 0.2815 6.8139 44.9718 154.2590 12.8783 53157.0 7.0
141 47.8832 0.2980 7.8607 163.8382 94.1236 157.4972 53157.0 7.0
142 47.8664 0.2192 8.3493 19.3727 300.0584 146.9660 53157.0 7.0
143 47.9240 0.2889 1.6494 348.8860 89.8211 64.0619 53157.0 7.0
144 47.7511 0.3064 2.8671 33.0754 8.2604 281.9560 53157.0 7.0
145 47.8519 0.3209 10.1809 267.9950 5.0484 162.5982 53157.0 7.0
146 47.6526 0.3310 12.0997 296.4129 107.8626 99.4112 53157.0 7.0
147 47.6874 0.2170 7.4277 293.2274 20.2353 316.0606 53157.0 7.0
148 47.8030 0.3129 7.2771 212.0932 238.0224 67.9869 53157.0 7.0
149 47.8194 0.2526 12.3228 197.8608 234.8817 89.5177 53157.0 7.0
150 47.9176 0.2098 2.7857 240.8368 64.5010 166.1491 53157.0 7.0
151 47.9985 0.1791 8.2110 359.7081 291.9384 345.4750 53157.0 7.0
152 47.7008 0.2603 4.8605 143.1209 347.1162 233.4338 53157.0 7.0
153 47.6526 0.3007 2.7538 260.8744 57.1166 312.4451 53157.0 7.0
154 47.7161 0.2910 5.8651 183.6353 61.8771 5.0831 53157.0 7.0
155 47.6849 0.2469 8.9624 230.9776 5.1036 176.9308 53157.0 7.0
156 47.9713 0.3165 2.5489 174.5962 139.4150 329.9176 53157.0 7.0
157 47.8461 0.2577 6.7597 1.4556 335.9970 329.3168 53157.0 7.0
158 47.8701 0.2925 4.0582 318.6692 328.2096 173.7065 53157.0 7.0
159 47.9910 0.2114 10.3131 74.3685 178.4294 144.8769 53157.0 7.0
160 47.9758 0.3102 12.2880 28.3247 86.6231 249.5678 53157.0 7.0
161 47.6095 0.3079 4.8913 355.1442 121.0870 219.0536 53157.0 7.0
162 47.8467 0.3256 6.5767 201.5267 349.8513 29.1151 53157.0 7.0
163 47.8508 0.3499 7.5588 311.9979 164.5404 242.3632 53157.0 7.0
164 47.6602 0.2386 6.0679 296.7351 288.4765 171.9386 53157.0 7.0
165 47.6621 0.2776 14.3887 95.4381 217.9926 323.9383 53157.0 7.0
166 47.8663 0.2573 8.8660 78.7768 151.1605 181.0831 53157.0 7.0
167 47.6013 0.3260 4.2998 57.7460 311.8168 91.3572 53157.0 7.0
168 47.7374 0.2604 11.5890 131.7089 33.5844 223.6864 53157.0 7.0
169 47.7797 0.3059 5.9186 196.2393 91.9535 160.8876 53157.0 7.0
170 47.6156 0.3425 7.0076 293.7743 28.6565 319.3063 53157.0 7.0
171 47.7283 0.2695 2.0075 304.6307 138.1840 258.4767 53157.0 7.0
172 47.8224 0.2521 9.0778 345.6965 126.4185 249.8479 53157.0 7.0
173 47.7420 0.3068 5.2636 152.8191 23.3881 217.0062 53157.0 7.0
174 47.6241 0.2844 8.9940 294.4818 187.1272 238.4737 53157.0 7.0
175 47.9159 0.3325 13.0699 314.1847 192.8443 226.9092 53157.0 7.0
176 47.6293 0.2674 13.3920 213.2730 98.2041 335.1645 53157.0 7.0
177 47.6769 0.2679 7.5970 105.3303 195.0042 332.5012 53157.0 7.0
178 47.8104 0.3244 9.2168 173.5375 307.3367 61.2647 53157.0 7.0
179 47.7533 0.2739 8.3497 283.9226 349.3628 352.3561 53157.0 7.0
180 47.6253 0.3175 9.7646 341.9632 339.2445 302.4986 53157.0 7.0
181 47.9506 0.3080 6.1055 82.5679 322.7029 95.5183 53157.0 7.0
182 47.9877 0.3553 6.3011 319.5793 186.9903 46.9088 53157.0 7.0
183 47.7686 0.3279 10.0983 186.1885 352.1554 209.0834 53157.0 7.0
184 47.9161 0.2680 7.4785 316.2528 274.4910 353.0754 53157.0 7.0
185 47.8452 0.2333 7.6633 158.6243 111.0122 343.0394 53157.0 7.0
186 47.8127 0.2914 4.6459 100.7085 126.1663 190.8719 53157.0 7.0
187 47.6808 0.2093 11.3046 37.5887 63.7621 56.2260 53157.0 7.0
188 47.8126 0.2805 3.7892 194.3274 335.5040 45.5800 53157.0 7.0
189 47.6268 0.2912 13.2628 50.9721 314.6535 101.0006 53157.0 7.0
190 47.7311 0.2662 9.8872 249.7020 323.4531 197.2709 53157.0 7.0
191 47.7224 0.2222 5.9726 81.6637 350.7741 62.6073 53157.0 7.0
192 47.9646 0.3471 5.7781 40.3783 176.0269 181.8465 53157.0 7.0
193 47.7277 0.3450 4.6143 17.8247 323.5800 289.0049 53157.0 7.0
194 47.8624 0.2493 7.7713 201.1832 73.6856 337.3901 53157.0 7.0
195 47.8094 0.2178 3.3212 113.1685 352.6267 48.9647 53157.0 7.0
196 47.7679 0.2503 15.7493 129.3941 171.8335 332.5273 53157.0 7.0
197 47.9654 0.2061 7.1955 251.5517 42.3502 301.0463 53157.0 7.0
198 47.7696 0.2837 8.8278 49.6779 85.7531 233.7187 53157.0 7.0
199 47.9072 0.2714 9.3253 216.6715 340.3498 197.3103 53157.0 7.0
200 47.9567 0.2047 5.0274 334.0307 308.3557 148.2497 53157.0 7.0
201 47.8893 0.2785 10.1259 132.4864 144.7943 343.9103 53157.0 7.0
202 47.7801 0.3291 8.7877 87.3909 14.1531 256.8745 53157.0 7.0
203 47.6383 0.2359 11.6233 86.7659 108.3991 355.0426 53157.0 7.0
204 47.9989 0.3395 6.4826 226.0959 138.4013 112.9759 53157.0 7.0
205 47.9930 0.3134 3.7517 260.5062 128.0210 274.7493 53157.0 7.0
206 47.8383 0.2573 3.0173 57.5104 349.8450 83.5325 53157.0 7.0
207 47.9713 0.2955 11.4067 224.0937 280.0260 52.8189 53157.0 7.0
208 47.7314 0.2526 5.2242 329.7699 14.5568 305.2569 53157.0 7.0
209 47.9993 0.2936 9.2932 133.8865 74.0825 202.4061 53157.0 7.0
210 47.9449 0.2593 6.4975 199.5970 121.8872 136.1132 53157.0 7.0
211 47.6321 0.2373 10.6771 302.7809 226.3997 22.8462 53157.0 7.0
212 47.9203 0.2209 8.3280 214.1754 174.2628 291.7137 53157.0 7.0
213 47.6119 0.3048 10.2881 21.5632 195.0822 3.6101 53157.0 7.0
214 47.9958 0.2219 6.1863 15.0658 59.8387 273.4037 53157.0 7.0
215 47.6098 0.3174 5.9569 324.2412 108.5991 84.3880 53157.0 7.0
216 47.9909 0.2673 13.1659 126.9364 59.1673 209.3546 53157.0 7.0
217 47.8945 0.2387 6.0791 190.1299 103.2548 158.0072 53157.0 7.0
218 47.8359 0.3132 9.0601 12.4747 245.7863 173.4465 53157.0 7.0
